suicide_demographic_key,Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($)
2892,Belize,1997,female,35-54 years,0,16844,0,"654,314,350",3487
2893,Belize,1997,female,5-14 years,0,28944,0,"654,314,350",3487
2894,Belize,1997,female,55-74 years,0,6984,0,"654,314,350",3487
2895,Belize,1997,female,75+ years,0,1927,0,"654,314,350",3487
2896,Belize,1997,male,15-24 years,0,22608,0,"654,314,350",3487
2897,Belize,1997,male,25-34 years,0,16263,0,"654,314,350",3487
2898,Belize,1997,male,5-14 years,0,29561,0,"654,314,350",3487
2899,Belize,1997,male,55-74 years,0,7048,0,"654,314,350",3487
2900,Belize,1997,male,75+ years,0,1596,0,"654,314,350",3487
2901,Belize,1998,male,55-74 years,2,7143,28,"688,992,450",3531
2902,Belize,1998,male,25-34 years,4,17191,23.27,"688,992,450",3531
2903,Belize,1998,male,35-54 years,3,18222,16.46,"688,992,450",3531
2904,Belize,1998,male,15-24 years,2,23745,8.42,"688,992,450",3531
2905,Belize,1998,female,35-54 years,1,17756,5.63,"688,992,450",3531
2906,Belize,1998,female,15-24 years,0,23436,0,"688,992,450",3531
2907,Belize,1998,female,25-34 years,0,17071,0,"688,992,450",3531
2908,Belize,1998,female,5-14 years,0,29659,0,"688,992,450",3531
2909,Belize,1998,female,55-74 years,0,7114,0,"688,992,450",3531
2910,Belize,1998,female,75+ years,0,1908,0,"688,992,450",3531
2911,Belize,1998,male,5-14 years,0,30264,0,"688,992,450",3531
2912,Belize,1998,male,75+ years,0,1599,0,"688,992,450",3531
2913,Belize,1999,male,15-24 years,8,24667,32.43,"732,732,350",3615
2914,Belize,1999,male,35-54 years,5,19046,26.25,"732,732,350",3615
2915,Belize,1999,male,25-34 years,4,18320,21.83,"732,732,350",3615
2916,Belize,1999,male,5-14 years,1,31113,3.21,"732,732,350",3615
2917,Belize,1999,female,15-24 years,0,24324,0,"732,732,350",3615
2918,Belize,1999,female,25-34 years,0,18117,0,"732,732,350",3615
2919,Belize,1999,female,35-54 years,0,18620,0,"732,732,350",3615
2920,Belize,1999,female,5-14 years,0,30523,0,"732,732,350",3615
2921,Belize,1999,female,55-74 years,0,7250,0,"732,732,350",3615
2922,Belize,1999,female,75+ years,0,1881,0,"732,732,350",3615
2923,Belize,1999,male,55-74 years,0,7244,0,"732,732,350",3615
2924,Belize,1999,male,75+ years,0,1594,0,"732,732,350",3615
2925,Belize,2000,male,75+ years,1,1593,62.77,"832,072,450",3960
2926,Belize,2000,male,55-74 years,2,7345,27.23,"832,072,450",3960
2927,Belize,2000,male,25-34 years,4,19529,20.48,"832,072,450",3960
2928,Belize,2000,male,35-54 years,4,19811,20.19,"832,072,450",3960
2929,Belize,2000,male,15-24 years,3,25358,11.83,"832,072,450",3960
2930,Belize,2000,female,35-54 years,2,19422,10.3,"832,072,450",3960
2931,Belize,2000,female,15-24 years,2,25007,8,"832,072,450",3960
2932,Belize,2000,female,25-34 years,0,19240,0,"832,072,450",3960
2933,Belize,2000,female,5-14 years,0,31492,0,"832,072,450",3960
2934,Belize,2000,female,55-74 years,0,7396,0,"832,072,450",3960
2935,Belize,2000,female,75+ years,0,1850,0,"832,072,450",3960
2936,Belize,2000,male,5-14 years,0,32066,0,"832,072,450",3960
2937,Belize,2001,male,75+ years,1,1627,61.46,"871,860,600",4013
2938,Belize,2001,male,25-34 years,7,20518,34.12,"871,860,600",4013
2939,Belize,2001,male,15-24 years,5,26072,19.18,"871,860,600",4013
2940,Belize,2001,male,35-54 years,3,20736,14.47,"871,860,600",4013
2941,Belize,2001,male,55-74 years,1,7334,13.64,"871,860,600",4013
2942,Belize,2001,female,25-34 years,1,20224,4.94,"871,860,600",4013
2943,Belize,2001,female,15-24 years,1,25712,3.89,"871,860,600",4013
2944,Belize,2001,female,35-54 years,0,20365,0,"871,860,600",4013
2945,Belize,2001,female,5-14 years,0,32384,0,"871,860,600",4013
2946,Belize,2001,female,55-74 years,0,7453,0,"871,860,600",4013
2947,Belize,2001,female,75+ years,0,1863,0,"871,860,600",4013
2948,Belize,2001,male,5-14 years,0,32991,0,"871,860,600",4013
2949,Belize,2002,male,35-54 years,6,21743,27.6,"932,551,850",4161
2950,Belize,2002,male,55-74 years,1,7320,13.66,"932,551,850",4161
2951,Belize,2002,female,35-54 years,2,21387,9.35,"932,551,850",4161
2952,Belize,2002,female,15-24 years,2,26384,7.58,"932,551,850",4161
2953,Belize,2002,male,25-34 years,1,21346,4.68,"932,551,850",4161
2954,Belize,2002,male,15-24 years,1,26756,3.74,"932,551,850",4161
2955,Belize,2002,female,5-14 years,1,33244,3.01,"932,551,850",4161
2956,Belize,2002,female,25-34 years,0,21060,0,"932,551,850",4161
2957,Belize,2002,female,55-74 years,0,7500,0,"932,551,850",4161
2958,Belize,2002,female,75+ years,0,1868,0,"932,551,850",4161
2959,Belize,2002,male,5-14 years,0,33881,0,"932,551,850",4161
2960,Belize,2002,male,75+ years,0,1647,0,"932,551,850",4161
2961,Belize,2003,male,55-74 years,1,7309,13.68,"990,374,050",4289
2962,Belize,2003,male,25-34 years,3,22006,13.63,"990,374,050",4289
2963,Belize,2003,male,35-54 years,2,22882,8.74,"990,374,050",4289
2964,Belize,2003,female,15-24 years,2,27064,7.39,"990,374,050",4289
2965,Belize,2003,female,25-34 years,1,21751,4.6,"990,374,050",4289
2966,Belize,2003,female,35-54 years,1,22539,4.44,"990,374,050",4289
2967,Belize,2003,male,15-24 years,1,27456,3.64,"990,374,050",4289
2968,Belize,2003,male,5-14 years,1,34739,2.88,"990,374,050",4289
2969,Belize,2003,female,5-14 years,0,34082,0,"990,374,050",4289
2970,Belize,2003,female,55-74 years,0,7550,0,"990,374,050",4289
2971,Belize,2003,female,75+ years,0,1860,0,"990,374,050",4289
2972,Belize,2003,male,75+ years,0,1652,0,"990,374,050",4289
2973,Belize,2004,male,55-74 years,3,7316,41.01,"1,057,845,500",4449
2974,Belize,2004,male,15-24 years,7,28175,24.84,"1,057,845,500",4449
2975,Belize,2004,male,35-54 years,5,24197,20.66,"1,057,845,500",4449
2976,Belize,2004,male,25-34 years,4,22560,17.73,"1,057,845,500",4449
2977,Belize,2004,female,55-74 years,1,7609,13.14,"1,057,845,500",4449
2978,Belize,2004,female,15-24 years,0,27773,0,"1,057,845,500",4449
2979,Belize,2004,female,25-34 years,0,22347,0,"1,057,845,500",4449
2980,Belize,2004,female,35-54 years,0,23865,0,"1,057,845,500",4449
2981,Belize,2004,female,5-14 years,0,34909,0,"1,057,845,500",4449
2982,Belize,2004,female,75+ years,0,1841,0,"1,057,845,500",4449
2983,Belize,2004,male,5-14 years,0,35566,0,"1,057,845,500",4449
2984,Belize,2004,male,75+ years,0,1633,0,"1,057,845,500",4449
2985,Belize,2005,male,25-34 years,5,23067,21.68,"1,114,222,550",4547
2986,Belize,2005,male,15-24 years,3,28904,10.38,"1,114,222,550",4547
2987,Belize,2005,male,35-54 years,2,25696,7.78,"1,114,222,550",4547
2988,Belize,2005,female,15-24 years,1,28506,3.51,"1,114,222,550",4547
2989,Belize,2005,male,5-14 years,1,36381,2.75,"1,114,222,550",4547
2990,Belize,2005,female,25-34 years,0,22905,0,"1,114,222,550",4547
2991,Belize,2005,female,35-54 years,0,25383,0,"1,114,222,550",4547
2992,Belize,2005,female,5-14 years,0,35738,0,"1,114,222,550",4547
2993,Belize,2005,female,55-74 years,0,7700,0,"1,114,222,550",4547
2994,Belize,2005,female,75+ years,0,1808,0,"1,114,222,550",4547
2995,Belize,2005,male,55-74 years,0,7350,0,"1,114,222,550",4547
2996,Belize,2005,male,75+ years,0,1582,0,"1,114,222,550",4547
2997,Belize,2006,male,35-54 years,4,27451,14.57,"1,217,467,600",4815
2998,Belize,2006,male,15-24 years,3,29465,10.18,"1,217,467,600",4815
2999,Belize,2006,male,25-34 years,1,23131,4.32,"1,217,467,600",4815
3000,Belize,2006,female,15-24 years,1,29322,3.41,"1,217,467,600",4815
3001,Belize,2006,female,5-14 years,1,36453,2.74,"1,217,467,600",4815
3002,Belize,2006,male,5-14 years,1,37049,2.7,"1,217,467,600",4815
3003,Belize,2006,female,25-34 years,0,23214,0,"1,217,467,600",4815
3004,Belize,2006,female,35-54 years,0,27049,0,"1,217,467,600",4815
3005,Belize,2006,female,55-74 years,0,8095,0,"1,217,467,600",4815
3006,Belize,2006,female,75+ years,0,1920,0,"1,217,467,600",4815
3007,Belize,2006,male,55-74 years,0,7990,0,"1,217,467,600",4815
3008,Belize,2006,male,75+ years,0,1687,0,"1,217,467,600",4815
3009,Belize,2007,male,75+ years,1,1802,55.49,"1,290,573,400",4951
3010,Belize,2007,male,35-54 years,2,29071,6.88,"1,290,573,400",4951
3011,Belize,2007,male,15-24 years,2,30074,6.65,"1,290,573,400",4951
3012,Belize,2007,female,35-54 years,1,28664,3.49,"1,290,573,400",4951
3013,Belize,2007,female,15-24 years,1,30151,3.32,"1,290,573,400",4951
3014,Belize,2007,male,5-14 years,1,37602,2.66,"1,290,573,400",4951
3015,Belize,2007,female,25-34 years,0,23636,0,"1,290,573,400",4951
3016,Belize,2007,female,5-14 years,0,37069,0,"1,290,573,400",4951
3017,Belize,2007,female,55-74 years,0,8579,0,"1,290,573,400",4951
3018,Belize,2007,female,75+ years,0,2027,0,"1,290,573,400",4951
3019,Belize,2007,male,25-34 years,0,23259,0,"1,290,573,400",4951
3020,Belize,2007,male,55-74 years,0,8733,0,"1,290,573,400",4951
3021,Belize,2008,male,75+ years,1,1931,51.79,"1,368,625,150",5098
3022,Belize,2008,male,35-54 years,6,30511,19.67,"1,368,625,150",5098
3023,Belize,2008,male,15-24 years,2,30760,6.5,"1,368,625,150",5098
3024,Belize,2008,male,25-34 years,1,23453,4.26,"1,368,625,150",5098
3025,Belize,2008,female,25-34 years,1,24149,4.14,"1,368,625,150",5098
3026,Belize,2008,female,15-24 years,0,31003,0,"1,368,625,150",5098
3027,Belize,2008,female,35-54 years,0,30201,0,"1,368,625,150",5098
3028,Belize,2008,female,5-14 years,0,37579,0,"1,368,625,150",5098
3029,Belize,2008,female,55-74 years,0,9143,0,"1,368,625,150",5098
3030,Belize,2008,female,75+ years,0,2139,0,"1,368,625,150",5098
3031,Belize,2008,male,5-14 years,0,38038,0,"1,368,625,150",5098
3032,Belize,2008,male,55-74 years,0,9580,0,"1,368,625,150",5098
3033,Belize,2009,male,15-24 years,5,31526,15.86,"1,336,957,250",4841
3034,Belize,2009,male,25-34 years,3,23713,12.65,"1,336,957,250",4841
3035,Belize,2009,male,55-74 years,1,10523,9.5,"1,336,957,250",4841
3036,Belize,2009,female,15-24 years,3,31873,9.41,"1,336,957,250",4841
3037,Belize,2009,male,35-54 years,2,31734,6.3,"1,336,957,250",4841
3038,Belize,2009,female,25-34 years,1,24742,4.04,"1,336,957,250",4841
3039,Belize,2009,female,35-54 years,0,31606,0,"1,336,957,250",4841
3040,Belize,2009,female,5-14 years,0,37982,0,"1,336,957,250",4841
3041,Belize,2009,female,55-74 years,0,9786,0,"1,336,957,250",4841
3042,Belize,2009,female,75+ years,0,2251,0,"1,336,957,250",4841
3043,Belize,2009,male,5-14 years,0,38375,0,"1,336,957,250",4841
3044,Belize,2009,male,75+ years,0,2078,0,"1,336,957,250",4841
3045,Belize,2010,male,55-74 years,2,11553,17.31,"1,397,113,450",4923
3046,Belize,2010,male,25-34 years,4,24053,16.63,"1,397,113,450",4923
3047,Belize,2010,male,35-54 years,5,32734,15.27,"1,397,113,450",4923
3048,Belize,2010,male,15-24 years,2,32338,6.18,"1,397,113,450",4923
3049,Belize,2010,female,35-54 years,2,32852,6.09,"1,397,113,450",4923
3050,Belize,2010,female,15-24 years,0,32738,0,"1,397,113,450",4923
3051,Belize,2010,female,25-34 years,0,25416,0,"1,397,113,450",4923
3052,Belize,2010,female,5-14 years,0,38304,0,"1,397,113,450",4923
3053,Belize,2010,female,55-74 years,0,10522,0,"1,397,113,450",4923
3054,Belize,2010,female,75+ years,0,2363,0,"1,397,113,450",4923
3055,Belize,2010,male,5-14 years,0,38669,0,"1,397,113,450",4923
3056,Belize,2010,male,75+ years,0,2254,0,"1,397,113,450",4923
3057,Belize,2011,male,75+ years,1,2303,43.42,"1,487,005,600",5098
3058,Belize,2011,male,25-34 years,9,24923,36.11,"1,487,005,600",5098
3059,Belize,2011,male,15-24 years,9,33414,26.93,"1,487,005,600",5098
3060,Belize,2011,male,35-54 years,8,33782,23.68,"1,487,005,600",5098
3061,Belize,2011,female,15-24 years,4,33746,11.85,"1,487,005,600",5098
3062,Belize,2011,male,55-74 years,1,11928,8.38,"1,487,005,600",5098
3063,Belize,2011,female,35-54 years,1,34151,2.93,"1,487,005,600",5098
3064,Belize,2011,female,25-34 years,0,26338,0,"1,487,005,600",5098
3065,Belize,2011,female,5-14 years,0,38613,0,"1,487,005,600",5098
3066,Belize,2011,female,55-74 years,0,11025,0,"1,487,005,600",5098
3067,Belize,2011,female,75+ years,0,2410,0,"1,487,005,600",5098
3068,Belize,2011,male,5-14 years,0,39029,0,"1,487,005,600",5098
3069,Belize,2012,male,55-74 years,3,12340,24.31,"1,573,670,250",5264
3070,Belize,2012,male,25-34 years,6,25854,23.21,"1,573,670,250",5264
3071,Belize,2012,male,35-54 years,6,34785,17.25,"1,573,670,250",5264
3072,Belize,2012,female,15-24 years,2,34680,5.77,"1,573,670,250",5264
3073,Belize,2012,male,15-24 years,1,34413,2.91,"1,573,670,250",5264
3074,Belize,2012,female,25-34 years,0,27291,0,"1,573,670,250",5264
3075,Belize,2012,female,35-54 years,0,35365,0,"1,573,670,250",5264
3076,Belize,2012,female,5-14 years,0,38680,0,"1,573,670,250",5264
3077,Belize,2012,female,55-74 years,0,11573,0,"1,573,670,250",5264
3078,Belize,2012,female,75+ years,0,2440,0,"1,573,670,250",5264
3079,Belize,2012,male,5-14 years,0,39194,0,"1,573,670,250",5264
3080,Belize,2012,male,75+ years,0,2331,0,"1,573,670,250",5264
3081,Belize,2013,male,35-54 years,7,35782,19.56,"1,612,573,850",5272
3082,Belize,2013,male,25-34 years,4,26847,14.9,"1,612,573,850",5272
3083,Belize,2013,male,15-24 years,4,35340,11.32,"1,612,573,850",5272
3084,Belize,2013,male,55-74 years,1,12803,7.81,"1,612,573,850",5272
3085,Belize,2013,female,15-24 years,1,35551,2.81,"1,612,573,850",5272
3086,Belize,2013,female,25-34 years,0,28278,0,"1,612,573,850",5272
3087,Belize,2013,female,35-54 years,0,36553,0,"1,612,573,850",5272
3088,Belize,2013,female,5-14 years,0,38558,0,"1,612,573,850",5272
3089,Belize,2013,female,55-74 years,0,12179,0,"1,612,573,850",5272
3090,Belize,2013,female,75+ years,0,2451,0,"1,612,573,850",5272
3091,Belize,2013,male,5-14 years,0,39211,0,"1,612,573,850",5272
3092,Belize,2013,male,75+ years,0,2335,0,"1,612,573,850",5272
3093,Belize,2014,male,55-74 years,4,13350,29.96,"1,703,951,050",5448
3094,Belize,2014,male,25-34 years,7,27885,25.1,"1,703,951,050",5448
3095,Belize,2014,male,35-54 years,5,36808,13.58,"1,703,951,050",5448
3096,Belize,2014,male,15-24 years,2,36197,5.53,"1,703,951,050",5448
3097,Belize,2014,female,15-24 years,2,36364,5.5,"1,703,951,050",5448
3098,Belize,2014,female,5-14 years,2,38337,5.22,"1,703,951,050",5448
3099,Belize,2014,female,25-34 years,1,29287,3.41,"1,703,951,050",5448
3100,Belize,2014,female,35-54 years,1,37789,2.65,"1,703,951,050",5448
3101,Belize,2014,female,55-74 years,0,12866,0,"1,703,951,050",5448
3102,Belize,2014,female,75+ years,0,2447,0,"1,703,951,050",5448
3103,Belize,2014,male,5-14 years,0,39137,0,"1,703,951,050",5448
3104,Belize,2014,male,75+ years,0,2313,0,"1,703,951,050",5448
3105,Belize,2015,male,75+ years,1,2264,44.17,"1,778,567,600",5561
3106,Belize,2015,male,25-34 years,9,28956,31.08,"1,778,567,600",5561
3107,Belize,2015,male,55-74 years,3,13996,21.43,"1,778,567,600",5561
3108,Belize,2015,male,35-54 years,4,37895,10.56,"1,778,567,600",5561
3109,Belize,2015,male,5-14 years,3,39041,7.68,"1,778,567,600",5561
3110,Belize,2015,female,55-74 years,1,13642,7.33,"1,778,567,600",5561
3111,Belize,2015,male,15-24 years,2,36971,5.41,"1,778,567,600",5561
3112,Belize,2015,female,35-54 years,2,39103,5.11,"1,778,567,600",5561
3113,Belize,2015,female,15-24 years,1,37114,2.69,"1,778,567,600",5561
3114,Belize,2015,female,25-34 years,0,30312,0,"1,778,567,600",5561
3115,Belize,2015,female,5-14 years,0,38109,0,"1,778,567,600",5561
3116,Belize,2015,female,75+ years,0,2432,0,"1,778,567,600",5561
3117,Bosnia and Herzegovina,2011,male,55-74 years,2,363350,0.55,"18,644,723,861",5076
3118,Bosnia and Herzegovina,2011,male,25-34 years,1,252743,0.4,"18,644,723,861",5076
3119,Bosnia and Herzegovina,2011,male,35-54 years,2,549187,0.36,"18,644,723,861",5076
3120,Bosnia and Herzegovina,2011,female,15-24 years,0,272956,0,"18,644,723,861",5076
3121,Bosnia and Herzegovina,2011,female,25-34 years,0,256067,0,"18,644,723,861",5076
3122,Bosnia and Herzegovina,2011,female,35-54 years,0,553980,0,"18,644,723,861",5076
3123,Bosnia and Herzegovina,2011,female,5-14 years,0,246977,0,"18,644,723,861",5076
3124,Bosnia and Herzegovina,2011,female,55-74 years,0,436988,0,"18,644,723,861",5076
3125,Bosnia and Herzegovina,2011,female,75+ years,0,115955,0,"18,644,723,861",5076
3126,Bosnia and Herzegovina,2011,male,15-24 years,0,290910,0,"18,644,723,861",5076
3127,Bosnia and Herzegovina,2011,male,5-14 years,0,256966,0,"18,644,723,861",5076
3128,Bosnia and Herzegovina,2011,male,75+ years,0,77233,0,"18,644,723,861",5076
3129,Bosnia and Herzegovina,2014,male,75+ years,37,96222,38.45,"18,558,343,508",5079
3130,Bosnia and Herzegovina,2014,male,55-74 years,84,401567,20.92,"18,558,343,508",5079
3131,Bosnia and Herzegovina,2014,male,35-54 years,96,534512,17.96,"18,558,343,508",5079
3132,Bosnia and Herzegovina,2014,female,75+ years,14,141795,9.87,"18,558,343,508",5079
3133,Bosnia and Herzegovina,2014,male,25-34 years,19,252546,7.52,"18,558,343,508",5079
3134,Bosnia and Herzegovina,2014,female,35-54 years,28,554379,5.05,"18,558,343,508",5079
3135,Bosnia and Herzegovina,2014,female,55-74 years,23,458353,5.02,"18,558,343,508",5079
3136,Bosnia and Herzegovina,2014,male,15-24 years,6,274269,2.19,"18,558,343,508",5079
3137,Bosnia and Herzegovina,2014,female,25-34 years,3,234219,1.28,"18,558,343,508",5079
3138,Bosnia and Herzegovina,2014,female,15-24 years,2,250924,0.8,"18,558,343,508",5079
3139,Bosnia and Herzegovina,2014,male,5-14 years,1,227491,0.44,"18,558,343,508",5079
3140,Bosnia and Herzegovina,2014,female,5-14 years,0,227892,0,"18,558,343,508",5079
3141,Brazil,1991,male,75+ years,153,725105,21.1,"602,860,000,000",4490
3142,Brazil,1991,male,55-74 years,660,5727704,11.52,"602,860,000,000",4490
3143,Brazil,1991,male,35-54 years,1334,14626951,9.12,"602,860,000,000",4490
3144,Brazil,1991,male,25-34 years,1002,12481850,8.03,"602,860,000,000",4490
3145,Brazil,1991,male,15-24 years,771,14774615,5.22,"602,860,000,000",4490
3146,Brazil,1991,female,55-74 years,222,6630160,3.35,"602,860,000,000",4490
3147,Brazil,1991,female,75+ years,38,1172662,3.24,"602,860,000,000",4490
3148,Brazil,1991,female,35-54 years,331,15218376,2.18,"602,860,000,000",4490
3149,Brazil,1991,female,25-34 years,266,12700804,2.09,"602,860,000,000",4490
3150,Brazil,1991,female,15-24 years,303,14737389,2.06,"602,860,000,000",4490
3151,Brazil,1991,male,5-14 years,41,17989977,0.23,"602,860,000,000",4490
3152,Brazil,1991,female,5-14 years,35,17496257,0.2,"602,860,000,000",4490
3153,Brazil,1992,male,75+ years,146,754020,19.36,"400,599,250,000",2924
3154,Brazil,1992,male,55-74 years,643,5899574,10.9,"400,599,250,000",2924
3155,Brazil,1992,male,35-54 years,1408,15081747,9.34,"400,599,250,000",2924
3156,Brazil,1992,male,25-34 years,981,12740352,7.7,"400,599,250,000",2924
3157,Brazil,1992,male,15-24 years,816,14998739,5.44,"400,599,250,000",2924
3158,Brazil,1992,female,75+ years,36,1221291,2.95,"400,599,250,000",2924
3159,Brazil,1992,female,35-54 years,391,15718299,2.49,"400,599,250,000",2924
3160,Brazil,1992,female,55-74 years,166,6848963,2.42,"400,599,250,000",2924
3161,Brazil,1992,female,25-34 years,262,12985784,2.02,"400,599,250,000",2924
3162,Brazil,1992,female,15-24 years,283,14937179,1.89,"400,599,250,000",2924
3163,Brazil,1992,male,5-14 years,39,18169763,0.21,"400,599,250,000",2924
3164,Brazil,1992,female,5-14 years,36,17651310,0.2,"400,599,250,000",2924
3165,Brazil,1993,male,75+ years,168,776516,21.64,"437,798,577,640",3136
3166,Brazil,1993,male,55-74 years,628,6082548,10.32,"437,798,577,640",3136
3167,Brazil,1993,male,25-34 years,1183,12975409,9.12,"437,798,577,640",3136
3168,Brazil,1993,male,35-54 years,1374,15546851,8.84,"437,798,577,640",3136
3169,Brazil,1993,male,15-24 years,917,15249319,6.01,"437,798,577,640",3136
3170,Brazil,1993,female,75+ years,33,1265590,2.61,"437,798,577,640",3136
3171,Brazil,1993,female,55-74 years,182,7082827,2.57,"437,798,577,640",3136
3172,Brazil,1993,female,15-24 years,334,15156899,2.2,"437,798,577,640",3136
3173,Brazil,1993,female,35-54 years,346,16228348,2.13,"437,798,577,640",3136
3174,Brazil,1993,female,25-34 years,261,13246132,1.97,"437,798,577,640",3136
3175,Brazil,1993,male,5-14 years,51,18272195,0.28,"437,798,577,640",3136
3176,Brazil,1993,female,5-14 years,31,17732843,0.17,"437,798,577,640",3136
3177,Brazil,1994,male,75+ years,180,793671,22.68,"558,111,997,497",3925
3178,Brazil,1994,male,55-74 years,725,6270191,11.56,"558,111,997,497",3925
3179,Brazil,1994,male,25-34 years,1228,13187454,9.31,"558,111,997,497",3925
3180,Brazil,1994,male,35-54 years,1436,16047095,8.95,"558,111,997,497",3925
3181,Brazil,1994,male,15-24 years,988,15533989,6.36,"558,111,997,497",3925
3182,Brazil,1994,female,75+ years,39,1307893,2.98,"558,111,997,497",3925
3183,Brazil,1994,female,15-24 years,372,15405279,2.41,"558,111,997,497",3925
3184,Brazil,1994,female,55-74 years,174,7323575,2.38,"558,111,997,497",3925
3185,Brazil,1994,female,35-54 years,369,16774482,2.2,"558,111,997,497",3925
3186,Brazil,1994,female,25-34 years,291,13479427,2.16,"558,111,997,497",3925
3187,Brazil,1994,male,5-14 years,48,18311628,0.26,"558,111,997,497",3925
3188,Brazil,1994,female,5-14 years,46,17753766,0.26,"558,111,997,497",3925
3189,Brazil,1995,male,75+ years,180,806015,22.33,"769,305,386,183",5313
3190,Brazil,1995,male,55-74 years,812,6459129,12.57,"769,305,386,183",5313
3191,Brazil,1995,male,35-54 years,1703,16593682,10.26,"769,305,386,183",5313
3192,Brazil,1995,male,25-34 years,1318,13377021,9.85,"769,305,386,183",5313
3193,Brazil,1995,male,15-24 years,1084,15852481,6.84,"769,305,386,183",5313
3194,Brazil,1995,female,75+ years,42,1349701,3.11,"769,305,386,183",5313
3195,Brazil,1995,female,55-74 years,208,7566176,2.75,"769,305,386,183",5313
3196,Brazil,1995,female,35-54 years,450,17368864,2.59,"769,305,386,183",5313
3197,Brazil,1995,female,25-34 years,318,13683822,2.32,"769,305,386,183",5313
3198,Brazil,1995,female,15-24 years,347,15683286,2.21,"769,305,386,183",5313
3199,Brazil,1995,male,5-14 years,38,18309246,0.21,"769,305,386,183",5313
3200,Brazil,1995,female,5-14 years,36,17734168,0.2,"769,305,386,183",5313
3201,Brazil,1996,male,75+ years,176,861847,20.42,"850,426,432,992",5771
3202,Brazil,1996,male,55-74 years,798,6651122,12,"850,426,432,992",5771
3203,Brazil,1996,male,35-54 years,1827,17150145,10.65,"850,426,432,992",5771
3204,Brazil,1996,male,25-34 years,1265,13533249,9.35,"850,426,432,992",5771
3205,Brazil,1996,male,15-24 years,1164,16172705,7.2,"850,426,432,992",5771
3206,Brazil,1996,female,75+ years,52,1426991,3.64,"850,426,432,992",5771
3207,Brazil,1996,female,55-74 years,202,7790591,2.59,"850,426,432,992",5771
3208,Brazil,1996,female,35-54 years,448,17981388,2.49,"850,426,432,992",5771
3209,Brazil,1996,female,15-24 years,347,15978838,2.17,"850,426,432,992",5771
3210,Brazil,1996,female,25-34 years,299,13851001,2.16,"850,426,432,992",5771
3211,Brazil,1996,male,5-14 years,70,18270623,0.38,"850,426,432,992",5771
3212,Brazil,1996,female,5-14 years,50,17684630,0.28,"850,426,432,992",5771
3213,Brazil,1997,male,75+ years,219,915653,23.92,"883,199,625,325",5891
3214,Brazil,1997,male,55-74 years,895,6842729,13.08,"883,199,625,325",5891
3215,Brazil,1997,male,35-54 years,1856,17744763,10.46,"883,199,625,325",5891
3216,Brazil,1997,male,25-34 years,1349,13664422,9.87,"883,199,625,325",5891
3217,Brazil,1997,male,15-24 years,1102,16523208,6.67,"883,199,625,325",5891
3218,Brazil,1997,female,75+ years,44,1503183,2.93,"883,199,625,325",5891
3219,Brazil,1997,female,35-54 years,507,18634217,2.72,"883,199,625,325",5891
3220,Brazil,1997,female,55-74 years,202,8017560,2.52,"883,199,625,325",5891
3221,Brazil,1997,female,25-34 years,282,13987171,2.02,"883,199,625,325",5891
3222,Brazil,1997,female,15-24 years,327,16301577,2.01,"883,199,625,325",5891
3223,Brazil,1997,female,5-14 years,55,17600190,0.31,"883,199,625,325",5891
3224,Brazil,1997,male,5-14 years,53,18197954,0.29,"883,199,625,325",5891
3225,Brazil,1998,male,75+ years,217,968599,22.4,"863,723,411,633",5663
3226,Brazil,1998,male,55-74 years,931,7040369,13.22,"863,723,411,633",5663
3227,Brazil,1998,male,35-54 years,1902,18361729,10.36,"863,723,411,633",5663
3228,Brazil,1998,male,25-34 years,1288,13787276,9.34,"863,723,411,633",5663
3229,Brazil,1998,male,15-24 years,1089,16881408,6.45,"863,723,411,633",5663
3230,Brazil,1998,female,75+ years,55,1580747,3.48,"863,723,411,633",5663
3231,Brazil,1998,female,55-74 years,197,8252694,2.39,"863,723,411,633",5663
3232,Brazil,1998,female,35-54 years,458,19311067,2.37,"863,723,411,633",5663
3233,Brazil,1998,female,25-34 years,324,14109075,2.3,"863,723,411,633",5663
3234,Brazil,1998,female,15-24 years,364,16629063,2.19,"863,723,411,633",5663
3235,Brazil,1998,male,5-14 years,50,18105835,0.28,"863,723,411,633",5663
3236,Brazil,1998,female,5-14 years,47,17496449,0.27,"863,723,411,633",5663
3237,Brazil,1999,male,75+ years,214,1022378,20.93,"599,388,579,986",3864
3238,Brazil,1999,male,55-74 years,818,7252947,11.28,"599,388,579,986",3864
3239,Brazil,1999,male,35-54 years,1897,18977263,10,"599,388,579,986",3864
3240,Brazil,1999,male,25-34 years,1199,13927042,8.61,"599,388,579,986",3864
3241,Brazil,1999,male,15-24 years,1103,17212692,6.41,"599,388,579,986",3864
3242,Brazil,1999,female,55-74 years,188,8504649,2.21,"599,388,579,986",3864
3243,Brazil,1999,female,35-54 years,426,19987055,2.13,"599,388,579,986",3864
3244,Brazil,1999,female,75+ years,35,1662705,2.11,"599,388,579,986",3864
3245,Brazil,1999,female,25-34 years,259,14242229,1.82,"599,388,579,986",3864
3246,Brazil,1999,female,15-24 years,281,16927682,1.66,"599,388,579,986",3864
3247,Brazil,1999,male,5-14 years,50,18012783,0.28,"599,388,579,986",3864
3248,Brazil,1999,female,5-14 years,37,17392648,0.21,"599,388,579,986",3864
3249,Brazil,2000,male,75+ years,215,1077633,19.95,"655,420,645,477",4156
